"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different request on reqres application","check reqres application accessed by user","SUCCESS","2022-06-22T11:48:07.645+01:00[Europe/London]","0.0","3.3"
"Testing different request on reqres application","check i can access single user","SUCCESS","2022-06-22T11:48:12.066+01:00[Europe/London]","0.0","0.18"
"Testing different request on reqres application","Check user can create new user","SUCCESS","2022-06-22T11:48:12.277+01:00[Europe/London]","0.0","0.5"
"Testing different request on reqres application","Check user can login successfully","SUCCESS","2022-06-22T11:48:12.841+01:00[Europe/London]","0.0","0.21"
"Testing different request on reqres application","Check user can delete data using id","SUCCESS","2022-06-22T11:48:13.113+01:00[Europe/London]","0.0","0.19"
